names,prices,description,phone_model,city,date,view
Телефон,Договорная цена,"Память 32гб 
Состояние среднее 
Отпечаток работает 
Зарядка есть",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  15 
Продам iPhone 11 Pro Max 64 gb,365 000 ₸,"Продам IPhone 11 Pro Max 64 gb 

Телефон в идеальном состоянии, на экране плёнка с момента покупки 

Покупался в... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  89 
IPhone 24Kt Gold Kazakhstan,180 000 ₸,"Продам эксклюзивный iPhone 7/128GB.
Состояние отличное, без сколов. Герб Казахстана выполнен из золота 24 карата.... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  817 
iPhone 6 32 GB,35 000 ₸,"Все в хорошем состоянии все работает с коробкой
Состояние батареи 85%
Отпечатка работает 
Все есть коробка зарядка с... ",Мобильные телефоны » Apple,Нур-Султан (Астана),28 ноября 2020 г.,  140 
Samsung J2,35 000 ₸,"Срочно продам смартфон J2 в идеальном состоянии, все работает интернет 4G, вай фай, ютуб, , и. Т. Д. Редко... ",Мобильные телефоны » Samsung,Павлодар,28 ноября 2020 г.,  124 
Продам Huawei pSmart 2018,20 000 ₸,Задняя камера не работает. Немного отходит дисплей. Память 32 Гб. Цвет: черный. Документы есть.,Мобильные телефоны » Huawei,Актобе,29 ноября 2020 г.,  221 
Продам самсунг а30 3/32,35 000 ₸,В хорошем состоянии не тупит доки есть минус на фото,Мобильные телефоны » Samsung,Павлодар,29 ноября 2020 г.,  0 
телефон,4 000 ₸,белый самсунг отлично состояние остальные телефон не работает,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  0 
Redmi note 8 pro 6/128GB,93 000 ₸,"Redmi note 8 pro 6/128Gb белый цвет сатылад жаксы жасап тур каропкасы бар, зарятчик, радной чехолбар. ОБМЕН ЖОК... ",Мобильные телефоны » Xiaomi,Актау,29 ноября 2020 г.,  417 
Смартфон Samsung Galaxy S20+ plus 128GB,210 000 ₸,"-Тип матрицы Dynamic AMOLED
-Процессор Exynos 990
-Объем оперативной памяти 8GB
-Основная камера 64 Мп + 12 Мп + 12 Мп... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  29 
Айфон 5s в отличном состоянии,25 000 ₸,"Одна хозяйка, в хорошем состоянии, не роняла, продаю в связи с тем что подарили другой,без зарядки",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  964 
HUAWEI pi40lait,Договорная цена,Новый Скину скока попросите🙂,Мобильные телефоны » Huawei,Павлодар,29 ноября 2020 г.,  32 
IPhone 7,85 000 ₸,IPhone 7 silver в хорошем состоянии. Без проблем выйду айклауд.,Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  35 
Ceramik white 1 TB,270 000 ₸,Доброго времени суток. Продам или обменяю телефон самсунг S10 plus. В хорошем состояний. Работает четко и плавно. Озу... ,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  32 
Телефоны,12 000 ₸,"Samsung Duos работает в идеальном состоянии, царапин экрана нет. Звук мощный. Простой Самсунг тоже работает без... ",Мобильные телефоны » Samsung,Уральск,29 ноября 2020 г.,  37 
продам iPhone 5s,15 000 ₸,Айфон 5s сатамын,Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  17 
Vivo Y93 lite,Договорная цена,Продаю Vivo Y93 lite в отличном состоянии! Покупал 1. 5 месяца назад с нуля!,Мобильные телефоны » Vivo,Нур-Султан (Астана),29 ноября 2020 г.,  26 
Продам самсунг,13 000 ₸,"В хорошем состояние все работает, двух сим картная.",Мобильные телефоны » Samsung,Актау,29 ноября 2020 г.,  30 
Продам телефон самсунг А 01core,40 000 ₸,"Продам телефон за 40000.телефон новый этого года.пользуюсь 2 недели.еще 1 год гарантии.стоит бронь стекло,в... ",Мобильные телефоны » Samsung,Мамлютка,29 ноября 2020 г.,  3 
Продам Samsung J2,17 000 ₸,"Продам Samsung J2
В идеальном состоянии, состояние нового телефона.
Документы, коробка, зарядка в комплекте.",Мобильные телефоны » Samsung,Павлодар,29 ноября 2020 г.,  84 
Телефон,Договорная цена,"Новый, зарядкасы , корабы бар.",Мобильные телефоны » Другой,Нур-Султан (Астана),29 ноября 2020 г.,  62 
Продам телефон,30 000 ₸,Продам телефон хорошем состоянии Samsung J5,Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  127 
Продам сотовый телефон,30 000 ₸,"Цвет золотистый, двухсимчитый",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  111 
Продам б/у телефон в отличном состоянии,37 000 ₸,В отличном состоянии Айфон 6,Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  60 
iphone 11 обмен или продам телефон,245 000 ₸,"В отличном состоянии полный комплект покупал в марте этого года 
Никаких царапин и ремонта",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  1 
"Продам срочно айфон 7+, еще и Air pods",115 000 ₸,"Продам Айфон 7+ на 32гб, с чехлом и защитным стеклом, + есть коробка ещё и в подарок айр подс (фейк), возможен обмен... ",Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  84 
